Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Josh Allen","QB","1","1","1","","0"
"Jayden Daniels","QB","2","2","1","","0"
"Lamar Jackson","QB","3","3","1","","0"
"Ja'Marr Chase","WR","4","1","1","","0"
"Joe Burrow","QB","5","4","1","","0"
"Justin Jefferson","WR","6","2","1","","0"
"Jalen Hurts","QB","7","5","1","","0"
"Jahmyr Gibbs","RB","8","1","1","","0"
"Bijan Robinson","RB","9","2","1","","0"
"Brock Bowers","TE","10","1","1","","0"
"Malik Nabers","WR","11","3","1","","0"
"CeeDee Lamb","WR","12","4","1","","0"
"Ashton Jeanty","RB","13","3","1","","0"
"Patrick Mahomes","QB","14","6","1","","0"
"Amon-Ra St. Brown","WR","15","5","1","","0"
"Brian Thomas","WR","16","6","1","","0"
"Puka Nacua","WR","17","7","1","","0"
"Saquon Barkley","RB","18","4","1","","0"
"Trey McBride","TE","19","2","1","","0"
"Nico Collins","WR","20","8","1","","0"
"Drake London","WR","21","9","1","","0"
"Bo Nix","QB","22","7","1","","0"
"Ladd McConkey","WR","23","10","1","","0"
"Caleb Williams","QB","24","8","1","","0"
"Omarion Hampton","RB","25","5","1","","0"
"Marvin Harrison","WR","26","11","1","","0"
"De'Von Achane","RB","27","6","1","","0"
"Justin Herbert","QB","28","9","1","","0"
"Drake Maye","QB","29","10","1","","0"
"Bucky Irving","RB","30","7","1","","0"
"C.J. Stroud","QB","31","11","1","","0"
"Jaxon Smith-Njigba","WR","32","12","1","","0"
"A.J. Brown","WR","33","13","1","","0"
"Garrett Wilson","WR","34","14","1","","0"
"Travis Hunter","WR","35","15","1","","0"
"Breece Hall","RB","36","8","1","","0"
"Jonathan Taylor","RB","37","9","1","","0"
"Tetairoa McMillan","WR","38","16","1","","0"
"Sam LaPorta","TE","39","3","1","","0"
"Kyren Williams","RB","40","10","1","","0"
"TreVeyon Henderson","RB","41","11","1","","0"
"Jordan Love","QB","42","12","1","","0"
"Tee Higgins","WR","43","17","1","","0"
"Rashee Rice","WR","44","18","1","","0"
"Christian McCaffrey","RB","45","12","1","","0"
"Baker Mayfield","QB","46","13","1","","0"
"Josh Jacobs","RB","47","13","1","","0"
"Kyler Murray","QB","48","14","1","","0"
"Derrick Henry","RB","49","14","1","","0"
"Brock Purdy","QB","50","15","1","","0"
"James Cook","RB","51","15","1","","0"
"Chase Brown","RB","52","16","1","","0"
"Quinshon Judkins","RB","53","17","1","","0"
"J.J. McCarthy","QB","54","16","1","","0"
"Cam Ward","QB","55","17","1","","0"
"Rome Odunze","WR","56","19","1","","0"
"DeVonta Smith","WR","57","20","1","","0"
"Tyler Warren","TE","58","4","1","","0"
"Xavier Worthy","WR","59","21","1","","0"
"George Kittle","TE","60","5","1","","0"
"Terry McLaurin","WR","61","22","1","","0"
"RJ Harvey","RB","62","18","1","","0"
"Kenneth Walker","RB","63","19","1","","0"
"Trevor Lawrence","QB","64","18","1","","0"
"Zay Flowers","WR","65","23","1","","0"
"Jared Goff","QB","66","19","1","","0"
"Kaleb Johnson","RB","67","20","1","","0"
"Colston Loveland","TE","68","6","1","","0"
"Emeka Egbuka","WR","69","24","1","","0"
"Chuba Hubbard","RB","70","21","1","","0"
"Michael Penix","QB","71","20","1","","0"
"DJ Moore","WR","72","25","1","","0"
"DK Metcalf","WR","73","26","1","","0"
"T.J. Hockenson","TE","74","7","1","","0"
"Jordan Addison","WR","75","27","1","","0"
"Dak Prescott","QB","76","21","1","","0"
"Jameson Williams","WR","77","28","1","","0"
"Tyreek Hill","WR","78","29","1","","0"
"George Pickens","WR","79","30","1","","0"
"Chris Olave","WR","80","31","1","","0"
"Alvin Kamara","RB","81","22","1","","0"
"Bryce Young","QB","82","22","1","","0"
"Matthew Golden","WR","83","32","1","","0"
"Jaylen Waddle","WR","84","33","1","","0"
"Mike Evans","WR","85","34","1","","0"
"Joe Mixon","RB","86","23","1","","0"
"Justin Fields","QB","87","23","1","","0"
"David Montgomery","RB","88","24","1","","0"
"Isiah Pacheco","RB","89","25","1","","0"
"Jerry Jeudy","WR","90","35","1","","0"
"Cam Skattebo","RB","91","26","1","","0"
"Dalton Kincaid","TE","92","8","1","","0"
"Davante Adams","WR","93","36","1","","0"
"Jayden Higgins","WR","94","37","1","","0"
"Ricky Pearsall","WR","95","38","1","","0"
"Courtland Sutton","WR","96","39","1","","0"
"Luther Burden","WR","97","40","1","","0"
"James Conner","RB","98","27","1","","0"
"D'Andre Swift","RB","99","28","1","","0"
"Mark Andrews","TE","100","9","1","","0"
"Brian Robinson","RB","101","29","1","","0"
"Jaxson Dart","QB","102","24","1","","0"
"Tucker Kraft","TE","103","10","1","","0"
